SearchTerm,CorrectSpelling
chicken,chicken
cream,cream
cheese,cheese
beef,beef
pie,pie
juice,juice
sauce,sauce
pork,pork
potato,potato
green,green
diced,diced
beans,beans
tomato,tomato
corn,corn
apple,apple
bread,bread
sausage,sausage
mix,mix
cake,cake
sugar,sugar
turkey,turkey
onion,onion
rice,rice
bean,bean
bacon,bacon
salad,salad
egg,egg
orange,orange
fruit,fruit
paper,paper
ham,ham
butter,butter
brown,brown
garlic,garlic
lemon,lemon
pepper,pepper
base,base
milk,milk
roll,roll
honey,honey
soup,soup
steak,steak
red,red
gravy,gravy
broccoli,broccoli
french,french
cranberry,cranberry
sliced,sliced
patty,patty
sour,sour
water,water
peas,peas
italian,italian
tea,tea
ground,ground
banana,banana
oil,oil
cups,cups
pudding,pudding
nectar,nectar
biscuit,biscuit
roast,roast
cottage,cottage
carrots,carrots
powder,powder
chocolate,chocolate
sweet,sweet
cup,cup
tuna,tuna
toast,toast
creamer,creamer
spinach,spinach
peaches,peaches
potatoes,potatoes
carrot,carrot
vanilla,vanilla
oatmeal,oatmeal
dressing,dressing
muffin,muffin
bbq,bbc
pineapple,pineapple
peanut,peanut
hot,hot
ice,ice
ranch,ranch
cabbage,cabbage
pot,pot
pancake,pancake
loin,loin
jelly,jelly
breast,breast
cocktail,cocktail
mayo,mayo
peach,peach
topping,topping
yellow,yellow
white,white
bun,bun
lettuce,lettuce
chips,chips
flour,flour
strawberry,strawberry
yogurt,yogurt
baked,baked
cucumber,cucumber
tomatoes,tomatoes
mustard,mustard
mandarin,mandarin
wheat,wheat
ketchup,ketchup
raisin,raisin
eggs,eggs
vegetable,vegetable
cauliflower,cauliflower
coffee,coffee
marinara,marina
applesauce,applesauce
pan,pan
liquid,liquid
cherry,cherry
pizza,pizza
pears,pears
celery,celery
copy,copy
zucchini,puccini
black,black
brownie,brownie
sherbet,sherbet
rolls,rolls
syrup,syrup
hamburger,hamburger
shell,shell
wash,wash
tilapia,tilapia
capri,capri
ravioli,ravioli
chop,chop
noodle,noodle
oranges,oranges
